identifier	authors	journal	year	title	text
PMID:22	NA	NA	2001	NA	cDNA cloning and transcriptional properties of a novel GC box - binding protein , BTEB2 .
PMID:23	NA	NA	2001	NA	N0 disease is more favorable than N1 or N2 disease .
PMID:24	NA	NA	2001	NA	Elimination of brush border as well as of glomerular marker proteins was significantly lower after intravenous injection of low - osmolar CM iopamidol 370 ( 832 mOsm / kg ) than after meglumine diatrizoate 76 ( 2100 mOsm / kg ) .
PMID:25	NA	NA	2001	NA	Overall graft and patient survival after HAT were 33 . 3 % and 75 % , respectively .
PMID:26	NA	NA	2001	NA	Of 81 girls cured from the bacteriuria 24 recurred , 5 with a symptomatic pyelonephritis and 3 with cystitis .
PMID:27	NA	NA	2001	NA	Partial hepatectomy in metastatic Wilms ' tumor .
PMID:28	NA	NA	2001	NA	MRS allowed the differentiation of the following metabolites in 5 patients : N - acetyl - aspartate ( NAA ) , creatine and phosphocreatine , phosphorylcholine and glycerophosphorylcholine , beta - and gamma - glutamate ( GLU ) .
PMID:29	NA	NA	2001	NA	Plasma prolactin in patients with colorectal cancer .
PMID:30	NA	NA	2001	NA	Studies of fetal maturity
PMID:31	NA	NA	2001	NA	A comparison of the rate of recovery and time for detection of mycobacteria from clinical specimens of the newly developed Mycobacteria Growth Indicator Tube ( MGIT ) , the biphasic Septi - Chek , and the egg - based Ogawa medium was made .
PMID:32	NA	NA	2001	NA	E2A - HLF - mediated cell transformation requires both the trans - activation domains of E2A and the leucine zipper dimerization domain of HLF .
PMID:33	NA	NA	2001	NA	In transient transfections using luciferase reporter genes driven by 1 kb of the 5 ' flanking DNA of the three CALM genes , the promoter activity correlated with the endogenous CALM transcriptional activity , but only when the 5 ' untranslated regions were included in the constructs .
PMID:34	NA	NA	2001	NA	In this report , several health behaviors were investigated in relation to maintaining mobility during 4 years of follow - up among 6 , 981 men and women aged 65 years and older with intact mobility at baseline between 1981 and 1983 who lived in one of three communities : East Boston , Massachusetts ; Iowa and Washington counties , Iowa ; and New Haven , Connecticut .
PMID:35	NA	NA	2001	NA	Binding of ZAP - 70 to phospho - TAMs is notable for the high level of cooperativity between the two SH2 domains , which individually demonstrate low affinity interaction with the ligand .
PMID:36	NA	NA	2001	NA	A clinical study .
PMID:37	NA	NA	2001	NA	Two - dimensional echocardiographic parasternal long - and short - axis views were obtained during graded bleeding by rapid withdrawal of blood from an arterial cannula , with increments of 5 % each up to 30 % of calculated blood volume .
PMID:38	NA	NA	2001	NA	Comparative analyses indicate that the 5 ' - peripheral domain exhibits a 75 - bp length polymorphism near sequences associated with the termination of the H - strand replication .
PMID:39	NA	NA	2001	NA	Thirty - five pts were transplanted for constitutional disease : Fanconi anemia ( FA ) ( 26 pts ) , Dyskeratosis congenita ( 2 pts ) , Blackfan - Diamond erythroblastopenia ( 2 pts ) , Glanzmann thrombasthenia ( 1 pt ) , osteopetrosis ( 1 pt ) and Gaucher ' s disease ( 1 pt ) .
PMID:40	NA	NA	2001	NA	One patient exhibited a non - sense mutation ( codon 388 ) , which changed a glutamine codon ( CAG ) to a stop codon ( TAG ) .
PMID:41	NA	NA	2001	NA	Using the same approach we have shown that hFIRE binds the stimulatory proteins Sp1 and Sp3 in addition to CBF .
PMID:42	NA	NA	2001	NA	Cellular fractionation and Percoll gradient centrifugation combined with immunoblotting show that p67 cofractionates with nuclei and is enriched in resistant structure that is insoluble in 2 M NaCl , 25 mM lithium 3 , 5 ' - diiodosalicylate , and 1 % Triton but is soluble in 8 M urea .
PMID:43	NA	NA	2001	NA	Gene expression is in part controlled by chromatin remodeling factors and the acetylation state of nucleosomal histones .
PMID:44	NA	NA	2001	NA	Corticosteroid treatment before , during , or after fludarabine treatment in patients with alkylator - resistant , low - grade lymphoid malignancies who have not received PCP prophylaxis is associated with an increased risk of opportunistic pulmonary infections .
PMID:45	NA	NA	2001	NA	Here we demonstrate that several genes associated with NHEJ perform essential functions in the repair of endonuclease - induced DSBs in vivo .
PMID:46	NA	NA	2001	NA	The primary structure of cholesterol esterase displayed no significant homology with other lipases , although the putative lipid interfacial recognition site of G - X - S - X - G is present in the cholesterol esterase sequence .
PMID:47	NA	NA	2001	NA	Subtype - and response element - dependent differences in transactivation by peroxisome proliferator - activated receptors alpha and gamma .
PMID:48	NA	NA	2001	NA	Monoclonal antibodies to the hapten phenyloxazolone were raised 7 days after immunization in mice of six strains ( BALB / c , C57BL - Igha , DBA2 , RF , A / J , and CE ) .
PMID:49	NA	NA	2001	NA	PMA produced similar results , but the induction of the WT AP1 c - jun promoter - CAT plasmid was smaller .
PMID:50	NA	NA	2001	NA	Although the QT duration was higher ( p = 0 . 0001 ) at night , the beat - to - beat variability of this interval was lower : in the time domain ( decreased standard deviation , p = 0 . 0005 ) , in the frequency domain ( decreased low - frequency power of the spectra , p = 0 . 004 ) , and the chaotic domain ( tighter clustering of the points in the Poincare plots ) .
PMID:51	NA	NA	2001	NA	J .
PMID:52	NA	NA	2001	NA	Student health
PMID:53	NA	NA	2001	NA	In both study stages . post - exposure treatment consisted of five injections of vaccine [ ( D ) ays 0 , 3 , 7 , 14 , 28 ] , together with a dose of rabies immunoglobulin ( RIG ) of equine or human origin on D0 .
PMID:54	NA	NA	2001	NA	Essential fatty acid deficiency in childhood
PMID:55	NA	NA	2001	NA	We have earlier proposed that CG rich sequences resembling CpG islands , which are associated with many imprinted genes and often subject to parental - specific methylation , could act as a common imprinting element .
PMID:56	NA	NA	2001	NA	Electrophoretic mobility - shift assays showed a rapid induction of nuclear proteins that bound to the consensus kappa B motif .
PMID:57	NA	NA	2001	NA	The thalamic SD was regularly triggered by short ( 0 . 02 - 0 . 05 s ) high - frequency ( 200 - 500 Hz ) ES of the parietal cortical surface .
PMID:58	NA	NA	2001	NA	As in IncP alpha plasmids , these operons are transcribed from a bidirectional promoter region consisting of trfAp for the trfA operon and trbAp and trbBp for the trb operon .
PMID:59	NA	NA	2001	NA	Comparison of the encoded ERCC3Dm protein with the homologous proteins of mouse and man shows a strong amino acid conservation ( 71 % identity ) , especially in the postulated DNA binding region and seven ' helicase ' domains .
PMID:60	NA	NA	2001	NA	Genetic analysis places CWH43 upstream of the BCK2 branch of the PKC1 signalling pathway , since cwh43 mutations were synthetic lethal with pkc1 deletion , whereas the cwh43 defects could be rescued by overexpression of BCK2 and not by high - copy - number expression of genes encoding downstream proteins of the PKC1 pathway However , unlike BCK2 , whose disruption in a cln3 mutant resulted in growth arrest in G ( 1 ) , no growth defect was observed in a double cwh43 cln3 mutants .
PMID:61	NA	NA	2001	NA	Expression of the E2 protein resulted in rapid repression of HPV E6 and E7 expression , followed approximately 12 h later by profound inhibition of cellular DNA synthesis .
PMID:62	NA	NA	2001	NA	Peak reactive hyperemia ( mL . min - 1 . 100 mL - 1 ) was determined in the calf and forearm immediately before and after 12 weeks of training .
PMID:63	NA	NA	2001	NA	The hematopoietic form of PTPN6 transcript is initiated at a downstream promoter separated by 7 kb from the first .
PMID:64	NA	NA	2001	NA	Reversal of biliary sphincter spasm with low dose glucagon during operative cholangiography .
PMID:65	NA	NA	2001	NA	In ten other endotoxin - albumin - treated pigs PGE1 infusion ( 0 . 25 micrograms X kg - 1 X min - 1 ) was begun after established pulmonary and cardiovascular dysfunction , for closer mimicking of clinical use .
PMID:66	NA	NA	2001	NA	In particular , MF males receiving either a 5 . 0 - mg / kg CDP dose or a 3 . 0 - mg / kg RO dose explored the object more often than MM males . ( ABSTRACT TRUNCATED AT 250 WORDS )
PMID:67	NA	NA	2001	NA	A single HD session using cellulose triacetate or polysulfone membrane significantly increased water content both at forearm and lower leg ( p < 0 . 05 ) .
PMID:68	NA	NA	2001	NA	In the yeast two - hybrid assays , PNRC interacted with the orphan receptors SF1 and ERRalpha1 in a ligand - independent manner .
PMID:69	NA	NA	2001	NA	Further , we will review our evaluation of the survival rate and prognostic factors for 9 , 262 patients from 1981 to 1996 .
PMID:70	NA	NA	2001	NA	Kaposi ' s eruptive disease .
PMID:71	NA	NA	2001	NA	The results were subjected to analysis of 23 autopsies carried out in children dying of intoxication with Amanita phalloides .
PMID:72	NA	NA	2001	NA	Microscopic examination of these colonies showed a high percentage of histiocytes identical to those seen in the patient ' s bone marrow .
PMID:73	NA	NA	2001	NA	Diffusion epidemic models with incubation and crisscross dynamics .
PMID:74	NA	NA	2001	NA	Additional genetic analyses described herein suggest that Skb1 is a component of the morphology control branch of the Ras signaling cascade in S . pombe and that it positively modulates Shk1 function .
PMID:75	NA	NA	2001	NA	Transient transfection assays indicated that the ( - 4551 ) UCP1 - CAT construct , containing the 5 ' - regulatory region of the rat ucp - 1 gene , was activated by PPARalpha co - transfection in a dose - dependent manner and this activation was potentiated by Wy 14 , 643 and retinoid X receptor alpha .
PMID:76	NA	NA	2001	NA	CRKL , an SH2 - SH3 - SH3 adapter protein , is one of the major tyrosine phosphoproteins detected in primary leukemic neutrophils from patients with CML .
PMID:77	NA	NA	2001	NA	Idealized versus realized overall treatment times .
PMID:78	NA	NA	2001	NA	Serum C3 was measured in 1 , 282 school children with abnormal urinary findings between 1980 and 1997 .
PMID:79	NA	NA	2001	NA	Tc - 99m HMPAO brain SPECT compared to CT and EEG after seizures in childhood .
PMID:80	NA	NA	2001	NA	The adenovirus E1B 19 , 000 - molecular - weight ( 19K ) protein is a potent inhibitor of apoptosis and cooperates with E1A to transform primary rodent cells .
PMID:81	NA	NA	2001	NA	Subclones of R15 which reverted to kappa light chain production contained genomic deletions of R15ns and / or the surrounding intron .
PMID:82	NA	NA	2001	NA	Previous data suggested a subtle increase in serum P at the time of hCG injection without LH surge reduces the PR of women having oocyte retrievals for IVF ; this study compared PRs of recipients in a shared oocyte program according to the donors ' pre - hCG P level .
PMID:83	NA	NA	2001	NA	Scleraxis overexpression enhanced expression of the aggrecan gene , which is not normally expressed at high levels in these osteoblastic cells .
PMID:84	NA	NA	2001	NA	Region - specific enhancers near two mammalian homeo box genes define adjacent rostrocaudal domains in the central nervous system .
PMID:85	NA	NA	2001	NA	Cells were cotransfected with this plasmid , and the appropriate responder plasmids and clonies were selected on the basis of their resistance to Geneticin ( via the neomycin aminoglycoside phosphotransferase gene ) .
PMID:86	NA	NA	2001	NA	To clone cDNAs for the beta subunit of rabbit eIF - 2B , amino acid sequence data was first obtained and used to design redundant oligonucleotide primers for use in PCR .
PMID:87	NA	NA	2001	NA	Deletion analysis of the 3 . 5kb DNA fragment revealed that the region between - 125 to + 1 , containing a single Sp1 binding site , is essential for transcription of the embigin gene .
PMID:88	NA	NA	2001	NA	A 29 . 425 kb segment on the left arm of yeast chromosome XV contains more than twice as many unknown as known open reading frames .
PMID:89	NA	NA	2001	NA	By applying a sufficiently strong crusher gradient in the EPI pulse sequence , the temporal variation induced by SSFP disturbance can be suppressed due to diffusion .
PMID:90	NA	NA	2001	NA	The cdc42W97R temperature - sensitive allele in S . cerevisiae displayed the same cell - division - cycle arrest phenotype ( large , round unbudded cells ) as the cdc42 - 1ts mutant .
PMID:91	NA	NA	2001	NA	Wolf - Hirschhorn syndrome ( WHS ) is a malformation syndrome associated with a hemizygous deletion of the distal short arm of chromosome 4 ( 4p16 . 3 ) .
PMID:92	NA	NA	2001	NA	To address this question with respect to skeletal muscle , we have examined the effects of the Providence mutation in cultured muscle cells , after adoptive gene transfer to adult mice , and in two infants homozygous for spectrin Providence .
PMID:93	NA	NA	2001	NA	Adenovirus - mediated gene transfer of MMAC1 / PTEN to glioblastoma cells inhibits S phase entry by the recruitment of p27Kip1 into cyclin E / CDK2 complexes .
PMID:94	NA	NA	2001	NA	Increasing insulin sensitivity in type I diabetic patients should alert clinicians to the possibility of glucocorticoid deficiency .
PMID:95	NA	NA	2001	NA	Experiment B : Clinical , biochemical , and histological variables were measured over a 12 - day period after the zymosan had been given .
PMID:96	NA	NA	2001	NA	Lesions of this kind resemble those in vitamin A - deficient chickens and are the first to be induced by excess vitamin E .
PMID:97	NA	NA	2001	NA	Immunoblotting using a phosphospecific anti - Src ( 416Y ) antibody showed a ceramide - induced increase in pp60 ( src ) tyrosine phosphorylation .
PMID:98	NA	NA	2001	NA	Spinophilin , a novel protein phosphatase 1 binding protein localized to dendritic spines .
PMID:99	NA	NA	2001	NA	The Htf9 - a gene encodes the RanBP1 protein , a major partner of the Ran GTPase .
PMID:100	NA	NA	2001	NA	Membrane extraction has been interfaced with gas chromatography and mass spectroscopy for the analysis of volatile organics in water .
PMID:101	NA	NA	2001	NA	We have produced the Ure2 protein to high yield in Escherichia coli from a synthetic gene .
PMID:102	NA	NA	2001	NA	Triethylene glycol .
PMID:103	NA	NA	2001	NA	The SM - specific selection of exon 2 results from the inhibition of exon 3 .
PMID:104	NA	NA	2001	NA	Ultimobranchial body and parathyroid glands of the freshwater snake Natrix piscator in response to vitamin D3 administration .
PMID:105	NA	NA	2001	NA	In contrast to the p16 - mediated G1 block , G1 arrest mediated by the cdk inhibitors p21Cip1 or p27Kip1 cannot be bypassed either by inactivation of pRb or overexpression of E2F family members .
PMID:106	NA	NA	2001	NA	More than 80 % appropriate lever responding was established after 27 , 38 and 44 daily training sessions with DN - 2327 , diazepam and PTZ , respectively , as the training drug .
PMID:107	NA	NA	2001	NA	In the present study , we have investigated the effects of SDZ ENA 713 on spatial learning deficits in aged rats .
PMID:108	NA	NA	2001	NA	A retrospective analysis of data accumulated over a 21 - month period , from December 1989 to September 1991 , regarding investigational use of a 308 nanometer Xenon Chloride Excimer Laser Coronary Angioplasty ( ELCA ) system ( Advanced Interventional Systems , Inc . , Irvine , CA ) was performed .
PMID:109	NA	NA	2001	NA	Upon increasing the Marangoni number beyond this threshold , the initially stationary flow becomes quickly time dependent .
PMID:110	NA	NA	2001	NA	Investigation on the asymmetrical induced yields in 90Sr - 90Y - beta - irradiated D - and L - alanines .
PMID:111	NA	NA	2001	NA	One of the major transcripts encodes MEQ , a 339 - amino - acid bZIP protein which is homologous to the Jun / Fos family of transcription factors .
PMID:112	NA	NA	2001	NA	Given a rapid induction of Egr - 1 on stimulation with growth factors or injury , these findings may represent at least one of the molecular mechanisms underlying phenotypic modulation of smooth muscles after vascular injury .
PMID:113	NA	NA	2001	NA	An identical polypeptide was detected by Western blot analysis of K1F virions .
PMID:114	NA	NA	2001	NA	The predictive value of the remotely sensed map based on NDVI data appears to be better than that from forecast indices based only on climatic data .
PMID:115	NA	NA	2001	NA	The concentration of vitamin B1 , B2 and B6 are found to be 9 . 96 , 9 . 92 and 3 . 01 mg , respectively in 240 mg of capsule powder of a standard company ( name has not been disclosed due to secrecy purpose ) .
PMID:116	NA	NA	2001	NA	We have shown that the human cell MRC closely resembles the murine cell MRC , in both its protein composition and its fractionation and chromatographic profile .
PMID:117	NA	NA	2001	NA	Red blood cell binding of 99mTc - EC and 131I - OIH was 6 . 1 % and 20 % , respectively .
PMID:118	NA	NA	2001	NA	Identification of a 68 - kilodalton nuclear ATP - binding phosphoprotein encoded by bovine papillomavirus type 1 .
PMID:119	NA	NA	2001	NA	To identify the GRK6 homologue on chromsome 13 , several sets of closely - spaced primers were designed based on the GRK6 cDNA sequence and then used to amplify human genomic DNA by PCR .
PMID:120	NA	NA	2001	NA	During the burst period ( approximately 5 - 10 min ) , local blood H2O2 concentrations and xanthine oxidase activities were highly correlated ( r = 0 . 999 ) .
PMID:121	NA	NA	2001	NA	This mutant also functions in vivo as a trans - acting dominant negative regulator : the transcriptional inducibility of the HIV long terminal repeat ( which contains two potential NF - kappa B binding sites ) by phorbol ester ( PMA ) is inhibited when it is co - transfected into CD4 + T cells with the delta SP mutant .
PMID:122	NA	NA	2001	NA	We demonstrate that the WRM - 1 protein binds to LIT - 1 in vivo and that WRM - 1 can activate the LIT - 1 protein kinase when coexpressed in vertebrate tissue culture cells .
PMID:123	NA	NA	2001	NA	To assess the safety of the angiotensin converting enzyme inhibitor enalapril a multicenter , open , randomized , prazosin - controlled trial was designed comparing the incidence and severity of symptomatic hypotension on the first day of treatment .
PMID:124	NA	NA	2001	NA	Mutating bases - 142 to - 151 abolishes formation of complex VII and partially inhibits complex IV , suggesting that the proteins forming these complexes bind neighboring segments of DNA .
PMID:125	NA	NA	2001	NA	In this study , we report the cloning and sequencing of several overlapping cDNAs encoding approximately 4 . 1 kb of the human homologue of Wnt - 5A .
PMID:126	NA	NA	2001	NA	We provided evidence that CaM kinase II played a role in regulating neurite outgrowth and growth cone motility in these cells , and that the autophosphorylation is essential for the kinase to sufficiently exert its cellular function in vivo [ Y .
PMID:127	NA	NA	2001	NA	We propose that GCD7 and GCD2 play important roles in the regulatory interaction between eIF - 2 and eIF - 2B and that the suppressor mutations we isolated in these genes decrease the susceptibility of eIF - 2B to the inhibitory effects of phosphorylated eIF - 2 without impairing the essential catalytic function of eIF - 2B in translation initiation .
PMID:128	NA	NA	2001	NA	Furthermore , we demonstrate that in myeloid and B cell extracts , PU . 1 forms a novel , specific , more slowly migrating complex ( PU - SF ) when binding the GM - CSF receptor alpha promoter PU . 1 site .
PMID:129	NA	NA	2001	NA	The antiserum used for immunoblotting specifically supershifts uteroglobin promoter - protein complexes in gel shift experiments .
PMID:130	NA	NA	2001	NA	Plasma LH and progesterone levels after single or multiple injections of synthetic LH - RH in anoestrous ewes and comparison with levels during the oestrous cycle .
PMID:131	NA	NA	2001	NA	Soluble recombinant RI and soluble recombinant C alpha can associate in vitro and be activated by cyclic AMP .
PMID:132	NA	NA	2001	NA	We have isolated and structurally characterized genomic DNA and cDNA sequences encoding ribulose - 1 , 5 - bisphosphate carboxylase / oxygenase ( Rbu - P2 carboxylase ) activase from barley ( Hordeum vulgare L . ) .
PMID:133	NA	NA	2001	NA	Cytokine inducibility of VCAM1 in endothelial cells utilizes the interaction of heterodimeric p50 / p65 proteins with IRF - 1 .
PMID:134	NA	NA	2001	NA	The cases with terminal forces of left ventricular activation in the same direction as the delta wave , superiorly and to the left at - 60 degrees or inferiorly and to the right at + 120 degrees , forming a single deflection of over 0 , 12 seconds ' duration , are the result of delayed activation of the anterior or posterior fascicle of the left bundle after a long delay .
PMID:135	NA	NA	2001	NA	From a chromosomal cosmid library of Streptomyces argillaceus , a Mtm producer , a clone ( cosAR7 ) was isolated by homology to the actI / III region of S . coelicolor and the strDEM genes of S . griseus .
PMID:136	NA	NA	2001	NA	A 31 - year - old man with primary myelofibrosis initially received low dose Ara C .
PMID:137	NA	NA	2001	NA	The factors defective in groups A ( CIITA ) , C ( RFX5 ) and D ( RFXAP ) have been identified .
PMID:138	NA	NA	2001	NA	"Manifestation of superfluidity in an evolving bose - einstein condensed Gas We study the generation of excitations due to an "" impurity "" ( static perturbation ) placed into an oscillating Bose - Einstein condensed gas in the time - dependent trapping field ."
PMID:139	NA	NA	2001	NA	By sequencing of exonuclease III deletion clones an open reading frame of 405 nucleotides was found coding for a protein of 135 amino acids with a molecular mass of 15 kDa .
PMID:140	NA	NA	2001	NA	The c - raf - 1 proto - oncogene is the cellular homologue of v - raf , the oncogene of the acutely transforming retrovirus 3611 - MSV .
PMID:141	NA	NA	2001	NA	We report the genomic organization of the mouse orphan receptor related to tyrosine kinases ( Ryk ) , a structurally unclassified member of the growth factor receptor family .
PMID:142	NA	NA	2001	NA	Electrophoretic mobility - shift assays between viral RNA and BMV CP peptides with either proline or alanine substitutions revealed that the interaction is nonspecific .
PMID:143	NA	NA	2001	NA	Furthermore , we detect hCoch - 5B2 on three overlapping YACs , two of which also contain one of the markers linked to DFNA9 . mCoch - 5B2 was genetically mapped in the mouse to chromosome 12 , in a region of homologous synteny with human 14q11 . 2 - q13 , which contains the asp1 ( audiogenic seizure prone ) locus in the mouse .
PMID:144	NA	NA	2001	NA	Reasons are given for suggesting that tiapamil warrants further clinical evaluation , after which it may join the more established calcium antagonists as a valuable therapeutic agent .
PMID:145	NA	NA	2001	NA	Histopathologic studies displaying spongiform changes in the gray matter , neuronal loss , and atrogliosis confirmed the clinical diagnosis of Creutzfeldt - Jakob disease .
PMID:146	NA	NA	2001	NA	Current body size ( wt / ht2 ) was significantly associated with life - time weight dissatisfaction in both sexes ( P less than 0 . 0005 ) .
PMID:147	NA	NA	2001	NA	Our results are consistent with TCOF1 mutations leading to the Treacher Collins syndrome phenotype .
PMID:148	NA	NA	2001	NA	Mannich bases of vanillin oxime .
PMID:149	NA	NA	2001	NA	Its activity was twice that of a construct where the CAT gene was driven by the H - 2Kb 5 ' enhancer region ( H2TF1 / KBF1 site ) and comparable to that of pRSVCAT construct carrying the strong Rous sarcoma virus LTR enhancer .
PMID:150	NA	NA	2001	NA	CONCLUSIONS : These findings imply that the spinal cord is not a simple command - carrying medium from the brain to the limbs , and implies that some computational activities take place at the spinal cord level .
PMID:151	NA	NA	2001	NA	The dipper ( RONF of BP ( or HR ) > or = 10 % 2 .
PMID:152	NA	NA	2001	NA	I .
PMID:153	NA	NA	2001	NA	Acute spontaneous subdural haematoma .
PMID:154	NA	NA	2001	NA	Nonsuicidal mortality in late - life depression .
PMID:155	NA	NA	2001	NA	DSS4 - 1 is a dominant suppressor of sec4 - 8 that encodes a nucleotide exchange protein that aids Sec4p function .
PMID:156	NA	NA	2001	NA	A study of characteristics in adult asthmatics who are sensitized by cats and dogs allergens
PMID:157	NA	NA	2001	NA	The failure suggests that these assembly competent but complementation - negative alpha mutants lack an as yet unidentified function ( s ) .
PMID:158	NA	NA	2001	NA	Ciprofloxacin levels in serum and blister fluid at the end of the dosing interval ( 8 h ) were superior or almost superior to MICs for sensitive organisms including Pseudomonas aeruginosa .
PMID:159	NA	NA	2001	NA	However , both peptides 1 - 49 and 63 - 87 bound to PDE alpha / beta in a solid - phase binding assay .
PMID:160	NA	NA	2001	NA	SETTING : A private office - based fertility program .
PMID:161	NA	NA	2001	NA	Our results showed that direct enantiomeric separation of mephenytoin was obtained by using a chiral capillary column , the retention times for S - and R - mephenytoin were 25 . 5 and 26 . 2 min respectively , with a detection limit less than 50 ng / ml of mephenytoin .
PMID:162	NA	NA	2001	NA	The consensus mammalian ER stress response element ( ERSE ) conserved among grp promoters consists of a tripartite structure CCAAT ( N9 ) CCACG , with N being a strikingly GC - rich region of 9 bp .
PMID:163	NA	NA	2001	NA	Further , we find that the BMI1 protein can also interact with itself .
PMID:164	NA	NA	2001	NA	These data suggest that certain of the nuclear protein import functions of NTF2 and Ran / TC4 are closely linked and that NTF2 may serve to modulate a transport step involving Ran / TC4 .
PMID:165	NA	NA	2001	NA	Our analysis indicates that a gene correction mechanism has been operating on the Hbbs chromosome to keep beta s and beta t evolving in concert , whereas on the Hbbd chromosome , beta dmin has diverged considerably from beta dmaj .
PMID:166	NA	NA	2001	NA	The prosomal RNA - binding protein p27K is a member of the alpha - type human prosomal gene family .
PMID:167	NA	NA	2001	NA	Because controlled - release niacin seems to be more potent than crystalline niacin , product substitution without dose adjustment should be avoided .
PMID:168	NA	NA	2001	NA	Expression of the gene encoding transcription factor cyclic adenosine 3 ' , 5 ' - monophosphate ( cAMP ) response element - binding protein ( CREB ) : regulation by follicle - stimulating hormone - induced cAMP signaling in primary rat Sertoli cells .
PMID:169	NA	NA	2001	NA	Comparison of the therapeutic effectiveness of membrane and centrifugation plasmapheresis
PMID:170	NA	NA	2001	NA	Number of warm - units with higher rates of firing and greater thermal coefficients , comparable to those of warm - units in the adult , gradually increased with growth .
PMID:171	NA	NA	2001	NA	To investigate the effect of hyperthyroidism on the pattern and time course of O2 uptake ( VO2 ) following the transition from rest to exercise , six patients and six healthy subjects performed cycle exercise at an average work rate ( WR ) of 18 and 20 W respectively .
PMID:172	NA	NA	2001	NA	88 , 3739 - 3743 ) ) .
PMID:173	NA	NA	2001	NA	CHIEF OUTCOME MEASURES : Endoluminal release of prostacyclin ( 6 - Keto - PGF1 alpha ) and thromboxane B2 ( TxB2 ) , patency , EC coverage and cell identity .
PMID:174	NA	NA	2001	NA	Elevated systolic blood pressure and high postglucose serum insulin levels showed an independent , significant association with left ventricular mass in female diabetic subjects .
PMID:175	NA	NA	2001	NA	Seasonal variation of the cadmium content of Murex trunculus in a non - cadmium polluted environment .
PMID:176	NA	NA	2001	NA	The total area under the blood glucose curve over the initial value was not altered 2 h after treatment with SH B 209 AB or Neogynon .
PMID:177	NA	NA	2001	NA	Serum IgM levels showed a highly significant increase in all types of brain tumour when compared to controls .
PMID:178	NA	NA	2001	NA	Here we describe the characterization of cDNAs encoding two unusual E2Fs , E2F - 4 and E2F - 5 , each identified by the ability of their gene product to interact with p130 in a yeast two - hybrid system .
PMID:179	NA	NA	2001	NA	Ultra - energy ( UHE ) imaging is usually performed in simultaneous F - 18 FDG / Tc - 99m MIBI studies .
